2PA,3P,AST,Age,BLK,Draft Placing,MP,PF,PTS,STL,TOV,TRB,US or EU,eFG%
0.5,0.0,0.1,33,0.6,,5.1,0.8,0.9,0.1,0.1,1.1,US,60.0
0.8,0.0,0.2,34,0.3,,6.4,0.6,1.3,0.1,0.2,1.6,US,62.5
2.5,1.1,1.2,31,0.2,,18.5,2.5,7.0,0.4,1.1,4.2,EU,51.4
2.0,0.8,0.8,32,0.2,,16.5,2.1,5.7,0.3,0.8,3.0,EU,45.3
2.2,0.0,0.2,22,0.5,12.0,11.3,1.4,3.1,0.2,0.6,2.7,US,54.40000000000001
2.3,0.0,0.4,23,0.5,12.0,11.3,2.0,2.7,0.2,0.9,2.5,US,45.3
3.5,0.0,0.4,24,0.6,12.0,15.6,2.6,4.8,0.4,1.1,2.8,US,56.10000000000001
2.4,0.0,0.6,25,0.4,12.0,10.2,1.8,2.2,0.5,0.7,2.5,US,35.4
2.8,0.0,0.9,25,0.4,12.0,13.3,2.4,2.8,0.4,0.7,3.4,US,38.0
2.0,0.0,0.3,25,0.7,12.0,9.3,0.8,1.7,0.3,0.7,2.3,US,33.300000000000004
1.8,0.0,0.3,25,0.0,12.0,4.4,1.1,1.1,0.6,0.6,0.7,US,29.4
1.4,0.0,0.3,26,0.4,12.0,9.2,1.6,1.7,0.3,0.5,2.5,US,50.0
1.5,0.0,0.2,26,0.4,12.0,10.0,1.8,1.9,0.4,0.6,2.8,US,49.20000000000001
0.9,0.1,0.3,26,0.4,12.0,6.3,0.8,1.3,0.3,0.3,1.4,US,54.2
1.3,0.0,0.3,29,0.3,12.0,6.5,0.7,1.7,0.3,0.4,3.1,US,47.4
1.7,0.0,0.4,24,0.7,36.0,12.1,1.9,2.8,0.2,0.8,3.7,EU,55.3
2.4,0.0,0.5,25,1.0,36.0,14.7,1.8,3.1,0.5,1.0,5.3,EU,50.6
7.5,0.0,0.9,26,1.1,36.0,30.0,2.7,10.1,0.6,2.1,11.7,EU,54.1
4.0,0.0,0.5,27,0.8,36.0,20.2,1.9,5.8,0.3,1.2,7.9,EU,53.2
5.4,0.0,0.9,28,0.7,36.0,26.1,1.9,7.3,0.4,1.3,9.8,EU,51.7
2.9,0.0,0.4,29,0.3,36.0,17.3,1.8,4.0,0.3,0.9,6.1,EU,53.29999999999999
2.1,0.0,0.5,30,0.3,36.0,15.5,1.6,2.7,0.2,0.5,5.3,EU,47.7
1.2,0.0,0.2,31,0.2,36.0,10.1,1.1,1.2,0.1,0.5,2.6,EU,40.9
1.1,0.0,0.1,31,0.1,36.0,8.6,1.0,1.3,0.1,0.4,2.6,EU,43.8
1.5,0.0,0.3,31,0.5,36.0,15.3,1.5,1.0,0.3,1.0,2.5,EU,33.300000000000004
1.5,0.0,0.2,22,0.1,48.0,3.6,0.6,2.0,0.1,0.3,1.1,US,45.7
2.4,0.0,0.1,23,0.3,48.0,6.7,1.3,2.8,0.2,0.5,1.7,US,44.6
4.6,0.0,1.2,24,0.7,48.0,14.4,2.1,5.1,0.4,1.2,4.9,US,43.9
7.8,0.0,1.2,27,0.5,48.0,22.9,3.0,9.7,0.5,2.0,5.8,US,50.2
11.1,0.0,2.2,28,0.7,48.0,29.1,3.0,13.5,0.8,2.6,7.1,US,46.6
10.2,0.0,1.7,28,0.7,48.0,26.4,3.1,12.7,0.8,2.3,6.3,US,47.4
12.8,0.0,3.4,28,0.8,48.0,34.4,2.7,15.2,0.7,3.4,8.7,US,45.4
9.1,0.0,1.8,29,0.7,48.0,25.7,2.6,9.7,1.0,2.3,4.8,US,41.1
5.9,0.0,1.3,30,0.6,48.0,19.9,2.2,6.7,0.3,1.8,4.8,US,43.0
4.7,0.1,1.1,31,0.4,48.0,16.3,1.8,4.3,0.4,1.0,4.3,US,36.70000000000001
4.2,0.0,0.6,32,0.2,48.0,14.6,1.7,3.6,0.4,0.5,3.4,US,39.1
1.6,0.0,0.3,22,0.1,50.0,4.3,0.6,1.6,0.1,0.4,0.8,EU,31.6
1.4,0.0,0.7,23,0.0,50.0,3.9,0.0,2.0,0.1,0.6,1.2,EU,46.2
1.8,0.0,0.3,20,0.5,24.0,7.4,1.3,1.3,0.3,0.6,1.6,EU,26.200000000000006
3.5,0.0,0.5,21,0.5,24.0,12.8,2.2,3.7,0.3,0.9,3.2,EU,40.40000000000001
2.6,0.0,0.4,22,0.3,24.0,7.6,1.1,1.9,0.3,0.5,2.0,EU,30.8
1.0,0.0,0.0,23,0.0,66.0,7.0,2.0,2.0,0.0,2.0,0.0,US,100.0
4.0,0.0,0.4,22,0.8,6.0,10.8,1.7,4.7,0.3,1.2,2.9,US,45.0
10.8,0.0,1.2,23,1.7,6.0,31.0,4.0,14.0,0.9,2.7,7.4,US,50.0
6.6,0.0,0.8,24,1.1,6.0,19.1,3.5,8.6,0.5,1.8,5.1,US,51.7
6.5,0.0,1.3,24,0.7,6.0,18.0,4.2,6.6,0.3,1.9,4.8,US,47.7
6.6,0.0,0.8,24,1.1,6.0,19.2,3.4,8.9,0.6,1.8,5.1,US,52.3
10.3,0.0,0.9,25,0.8,6.0,23.5,3.6,13.3,0.6,2.6,6.3,US,49.70000000000001
3.0,0.0,0.3,25,0.2,6.0,8.3,2.5,3.3,0.2,1.0,1.0,US,50.0
10.9,0.0,0.9,25,0.9,6.0,24.9,3.7,14.1,0.6,2.8,6.8,US,49.70000000000001
7.1,0.0,1.1,26,0.5,6.0,16.1,2.7,8.8,0.5,1.4,4.0,US,49.1
4.7,0.0,0.5,27,0.7,6.0,17.5,3.9,5.2,0.4,1.4,4.6,US,44.7
9.1,0.0,1.0,28,0.8,6.0,25.9,4.3,11.1,0.7,2.1,7.0,US,45.6
7.0,0.0,0.6,29,0.7,6.0,15.9,3.5,8.3,0.4,1.6,4.0,US,46.9
